date,segment,channel,required_productive_h,required_fte,required_fte_p90,grade
2026-06-22,SOUTH,email,35.32,5.67,6.53,E
2026-06-22,SOUTH,voice,133.24,21.4,24.63,E
2026-06-23,NORTH,chat,74.22,11.92,13.72,E
2026-06-23,NORTH,email,27.83,4.47,5.15,E
2026-06-23,NORTH,voice,102.09,16.4,18.88,E
2026-06-23,SOUTH,chat,88.05,14.14,16.28,E
2026-06-23,SOUTH,email,33.28,5.35,6.16,E
2026-06-23,SOUTH,voice,124.11,19.94,22.95,E
2026-06-24,NORTH,chat,76.55,12.3,14.16,E
2026-06-24,NORTH,email,28.47,4.57,5.26,E
2026-06-24,NORTH,voice,110.15,17.69,20.36,E
2026-06-24,SOUTH,chat,82.36,13.23,15.23,E
2026-06-24,SOUTH,email,31.9,5.12,5.89,E
2026-06-24,SOUTH,voice,120.76,19.4,22.33,E
2026-06-25,NORTH,chat,68.65,11.03,12.7,E
2026-06-25,NORTH,email,26.53,4.26,4.9,E
2026-06-25,NORTH,voice,103.45,16.62,19.13,E
2026-06-25,SOUTH,chat,80.41,12.92,14.87,E
2026-06-25,SOUTH,email,30.51,4.9,5.64,E
2026-06-25,SOUTH,voice,117.64,18.9,21.76,E
2026-06-26,NORTH,chat,63.42,10.19,11.73,E
2026-06-26,NORTH,email,25.61,4.11,4.73,E
2026-06-26,NORTH,voice,100.54,16.15,18.59,E
2026-06-26,SOUTH,chat,71.25,11.45,13.18,E
2026-06-26,SOUTH,email,28.57,4.59,5.28,E
2026-06-26,SOUTH,voice,115.07,18.49,21.28,E
2026-06-27,NORTH,chat,40.7,6.54,7.53,E
2026-06-27,NORTH,email,13.22,2.12,2.44,E
2026-06-27,NORTH,voice,58.07,9.33,10.74,E
2026-06-27,SOUTH,chat,45.72,7.34,8.45,E
2026-06-27,SOUTH,email,14.61,2.35,2.71,E
2026-06-27,SOUTH,voice,64.65,10.39,11.96,E
2026-06-28,NORTH,chat,26.48,4.25,4.89,E
2026-06-28,NORTH,email,7.4,1.19,1.37,E
2026-06-28,NORTH,voice,38.55,6.19,7.13,E
2026-06-28,SOUTH,chat,33.52,5.38,6.19,E
2026-06-28,SOUTH,email,9.06,1.46,1.68,E
2026-06-28,SOUTH,voice,48.14,7.73,8.9,E
2026-06-29,NORTH,chat,81.42,13.08,15.06,E
2026-06-29,NORTH,email,32.17,5.17,5.95,E
2026-06-29,NORTH,voice,125.62,20.18,23.23,E
2026-06-29,SOUTH,chat,96.14,15.44,17.77,E
2026-06-29,SOUTH,email,37.53,6.03,6.94,E
2026-06-29,SOUTH,voice,146.63,23.56,27.12,E
2026-06-30,NORTH,chat,78.6,12.63,14.54,E
2026-06-30,NORTH,email,29.86,4.8,5.53,E
2026-06-30,NORTH,voice,115.86,18.61,21.42,E
2026-06-30,SOUTH,chat,87.84,14.11,16.24,E
2026-06-30,SOUTH,email,33.28,5.35,6.16,E
2026-06-30,SOUTH,voice,124.23,19.96,22.98,E
2026-07-01,NORTH,chat,72.87,11.71,13.48,E
2026-07-01,NORTH,email,28.29,4.54,5.23,E
2026-07-01,NORTH,voice,105.61,16.97,19.54,E
2026-07-01,SOUTH,chat,80.76,12.97,14.93,E
2026-07-01,SOUTH,email,31.62,5.08,5.85,E
2026-07-01,SOUTH,voice,118.02,18.96,21.83,E
2026-07-02,NORTH,chat,66.84,10.74,12.36,E
2026-07-02,NORTH,email,25.79,4.14,4.77,E
2026-07-02,NORTH,voice,101.36,16.28,18.74,E
2026-07-02,SOUTH,chat,84.06,13.5,15.54,E
2026-07-02,SOUTH,email,31.99,5.14,5.92,E
2026-07-02,SOUTH,voice,119.78,19.24,22.15,E
2026-07-03,NORTH,chat,62.51,10.04,11.56,E
2026-07-03,NORTH,email,24.96,4.01,4.62,E
2026-07-03,NORTH,voice,97.17,15.61,17.97,E
2026-07-03,SOUTH,chat,76.72,12.32,14.18,E
2026-07-03,SOUTH,email,29.31,4.71,5.42,E
2026-07-03,SOUTH,voice,117.81,18.93,21.79,E
2026-07-04,NORTH,chat,40.68,6.53,7.52,E
2026-07-04,NORTH,email,12.94,2.08,2.39,E
2026-07-04,NORTH,voice,55.89,8.98,10.34,E
2026-07-04,SOUTH,chat,47.76,7.67,8.83,E
2026-07-04,SOUTH,email,15.35,2.47,2.84,E
2026-07-04,SOUTH,voice,65.89,10.58,12.18,E
2026-07-05,NORTH,chat,27.52,4.42,5.09,E
2026-07-05,NORTH,email,7.95,1.28,1.47,E
2026-07-05,NORTH,voice,41.94,6.74,7.76,E
2026-07-05,SOUTH,chat,32.48,5.22,6.01,E
2026-07-05,SOUTH,email,9.06,1.46,1.68,E
2026-07-05,SOUTH,voice,46.89,7.53,8.67,E
2026-07-06,NORTH,chat,81.68,13.12,15.1,E
2026-07-06,NORTH,email,33.65,5.41,6.23,E
2026-07-06,NORTH,voice,131.1,21.06,24.24,E
2026-07-06,SOUTH,chat,96.86,15.56,17.91,E
2026-07-06,SOUTH,email,37.81,6.07,6.99,E
2026-07-06,SOUTH,voice,145.55,23.38,26.91,E
2026-07-07,NORTH,chat,80.05,12.86,14.8,E
2026-07-07,NORTH,email,30.51,4.9,5.64,E
2026-07-07,NORTH,voice,119.34,19.17,22.07,E
2026-07-07,SOUTH,chat,90.89,14.6,16.81,E
2026-07-07,SOUTH,email,36.15,5.81,6.69,E
2026-07-07,SOUTH,voice,138.93,22.32,25.69,E
2026-07-08,NORTH,chat,78.2,12.56,14.46,E
2026-07-08,NORTH,email,29.77,4.78,5.5,E
2026-07-08,NORTH,voice,112.92,18.14,20.88,E
2026-07-08,SOUTH,chat,86.13,13.84,15.93,E
2026-07-08,SOUTH,email,32.91,5.29,6.09,E
2026-07-08,SOUTH,voice,126.35,20.3,23.37,E
2026-07-09,NORTH,chat,74.99,12.05,13.87,E
2026-07-09,NORTH,email,28.01,4.5,5.18,E
2026-07-09,NORTH,voice,106.72,17.14,19.73,E
2026-07-09,SOUTH,chat,83.94,13.48,15.52,E
2026-07-09,SOUTH,email,31.62,5.08,5.85,E
2026-07-09,SOUTH,voice,121.35,19.49,22.44,E
2026-07-10,NORTH,chat,74.91,12.03,13.85,E
2026-07-10,NORTH,email,28.66,4.6,5.3,E
2026-07-10,NORTH,voice,109.7,17.62,20.28,E
2026-07-10,SOUTH,chat,74.61,11.99,13.8,E
2026-07-10,SOUTH,email,29.03,4.66,5.36,E
2026-07-10,SOUTH,voice,111.43,17.9,20.61,E
2026-07-11,NORTH,chat,41.49,6.67,7.68,E
2026-07-11,NORTH,email,13.31,2.14,2.46,E
2026-07-11,NORTH,voice,57.17,9.18,10.57,E
2026-07-11,SOUTH,chat,46.76,7.51,8.65,E
2026-07-11,SOUTH,email,14.98,2.41,2.77,E
2026-07-11,SOUTH,voice,65.7,10.55,12.14,E
2026-07-12,NORTH,chat,28.84,4.63,5.33,E
2026-07-12,NORTH,email,8.23,1.32,1.52,E
2026-07-12,NORTH,voice,44.55,7.16,8.24,E
2026-07-12,SOUTH,chat,31.16,5.01,5.77,E
2026-07-12,SOUTH,email,8.78,1.41,1.62,E
2026-07-12,SOUTH,voice,46.98,7.55,8.69,E
2026-07-13,NORTH,chat,84.93,13.64,15.7,E
2026-07-13,NORTH,email,31.16,5.01,5.77,E
2026-07-13,NORTH,voice,177.58,28.53,32.84,E
2026-07-13,SOUTH,chat,94.95,15.25,17.56,E
2026-07-13,SOUTH,email,33.93,5.45,6.27,E
2026-07-13,SOUTH,voice,140.92,22.64,26.06,E
2026-07-14,NORTH,chat,83.72,13.45,15.48,E
2026-07-14,NORTH,email,30.88,4.96,5.71,E
2026-07-14,NORTH,voice,173.24,27.83,32.04,E
2026-07-14,SOUTH,chat,93.31,14.99,17.26,E
2026-07-14,SOUTH,email,34.39,5.52,6.35,E
2026-07-14,SOUTH,voice,135.66,21.79,25.08,E
2026-07-15,NORTH,chat,79.28,12.74,14.67,E
2026-07-15,NORTH,email,31.06,4.99,5.74,E
2026-07-15,NORTH,voice,157.82,25.35,29.18,E
2026-07-15,SOUTH,chat,91.11,14.64,16.85,E
2026-07-15,SOUTH,email,35.04,5.63,6.48,E
2026-07-15,SOUTH,voice,130.45,20.96,24.13,E
2026-07-16,NORTH,chat,79.4,12.76,14.69,E
2026-07-16,NORTH,email,29.86,4.8,5.53,E
2026-07-16,NORTH,voice,156.0,25.06,28.85,E
2026-07-16,SOUTH,chat,81.48,13.09,15.07,E
2026-07-16,SOUTH,email,31.34,5.03,5.79,E
2026-07-16,SOUTH,voice,120.66,19.38,22.31,E
2026-07-17,NORTH,chat,78.61,12.63,14.54,E
2026-07-17,NORTH,email,29.21,4.69,5.4,E
2026-07-17,NORTH,voice,153.97,24.73,28.47,E
2026-07-17,SOUTH,chat,83.21,13.37,15.39,E
2026-07-17,SOUTH,email,31.06,4.99,5.74,E
2026-07-17,SOUTH,voice,121.76,19.56,22.52,E
2026-07-18,NORTH,chat,48.62,7.81,8.99,E
2026-07-18,NORTH,email,13.13,2.11,2.43,E
2026-07-18,NORTH,voice,96.32,15.47,17.81,E
2026-07-18,SOUTH,chat,49.15,7.9,9.09,E
2026-07-18,SOUTH,email,13.41,2.15,2.47,E
2026-07-18,SOUTH,voice,69.87,11.22,12.92,E
2026-07-19,NORTH,chat,28.83,4.63,5.33,E
2026-07-19,NORTH,email,7.4,1.19,1.37,E
2026-07-19,NORTH,voice,58.09,9.33,10.74,E
2026-07-19,SOUTH,chat,32.29,5.19,5.97,E
2026-07-19,SOUTH,email,8.14,1.31,1.51,E
2026-07-19,SOUTH,voice,46.91,7.54,8.68,E
2026-07-20,NORTH,chat,93.82,15.07,17.35,E
2026-07-20,NORTH,email,31.53,5.07,5.84,E
2026-07-20,NORTH,voice,187.78,30.17,34.73,E
2026-07-20,SOUTH,chat,100.71,16.18,18.63,E
2026-07-20,SOUTH,email,33.74,5.42,6.24,E
2026-07-20,SOUTH,voice,147.92,23.76,27.35,E
2026-07-21,NORTH,chat,85.67,13.76,15.84,E
2026-07-21,NORTH,email,30.69,4.93,5.68,E
2026-07-21,NORTH,voice,179.75,28.88,33.25,E
2026-07-21,SOUTH,chat,95.55,15.35,17.67,E
2026-07-21,SOUTH,email,34.39,5.52,6.35,E
2026-07-21,SOUTH,voice,138.52,22.25,25.61,E
2026-07-22,NORTH,chat,85.9,13.8,15.89,E
2026-07-22,NORTH,email,31.71,5.09,5.86,E
2026-07-22,NORTH,voice,167.37,26.89,30.95,E
2026-07-22,SOUTH,chat,88.49,14.22,16.37,E
2026-07-22,SOUTH,email,34.02,5.47,6.3,E
2026-07-22,SOUTH,voice,134.26,21.57,24.83,E
2026-07-23,NORTH,chat,83.78,13.46,15.49,E
2026-07-23,NORTH,email,31.53,5.07,5.84,E
2026-07-23,NORTH,voice,168.83,27.12,31.22,E
2026-07-23,SOUTH,chat,83.88,13.47,15.51,E
2026-07-23,SOUTH,email,32.63,5.24,6.03,E
2026-07-23,SOUTH,voice,122.08,19.61,22.57,E
2026-07-24,NORTH,chat,78.41,12.6,14.5,E
2026-07-24,NORTH,email,29.77,4.78,5.5,E
2026-07-24,NORTH,voice,158.31,25.43,29.27,E
2026-07-24,SOUTH,chat,86.88,13.96,16.07,E
2026-07-24,SOUTH,email,32.54,5.23,6.02,E
2026-07-24,SOUTH,voice,122.47,19.67,22.64,E
2026-07-25,NORTH,chat,48.26,7.75,8.92,E
2026-07-25,NORTH,email,13.04,2.09,2.41,E
2026-07-25,NORTH,voice,93.7,15.05,17.32,E
2026-07-25,SOUTH,chat,51.79,8.32,9.58,E
2026-07-25,SOUTH,email,13.96,2.24,2.58,E
2026-07-25,SOUTH,voice,72.82,11.7,13.47,E
2026-07-26,NORTH,chat,32.27,5.18,5.96,E
2026-07-26,NORTH,email,7.77,1.25,1.44,E
2026-07-26,NORTH,voice,61.24,9.84,11.33,E
2026-07-26,SOUTH,chat,33.32,5.35,6.16,E
2026-07-26,SOUTH,email,7.77,1.25,1.44,E
2026-07-26,SOUTH,voice,43.76,7.03,8.09,E
2026-07-27,NORTH,chat,102.16,16.41,18.89,E
2026-07-27,NORTH,email,22.47,3.61,4.16,E
2026-07-27,NORTH,voice,205.67,33.04,38.03,E
2026-07-27,SOUTH,chat,103.95,16.7,19.22,E
2026-07-27,SOUTH,email,22.0,3.53,4.06,E
2026-07-27,SOUTH,voice,145.42,23.36,26.89,E
2026-07-28,NORTH,chat,95.18,15.29,17.6,E
2026-07-28,NORTH,email,22.37,3.59,4.13,E
2026-07-28,NORTH,voice,195.3,31.37,36.11,E
2026-07-28,SOUTH,chat,91.4,14.68,16.9,E
2026-07-28,SOUTH,email,21.08,3.39,3.9,E
2026-07-28,SOUTH,voice,133.26,21.41,24.65,E
2026-07-29,NORTH,chat,88.81,14.27,16.43,E
2026-07-29,NORTH,email,32.73,5.26,6.06,E
2026-07-29,NORTH,voice,180.56,29.01,33.4,E
2026-07-29,SOUTH,chat,90.72,14.57,16.77,E
2026-07-29,SOUTH,email,33.37,5.36,6.17,E
2026-07-29,SOUTH,voice,137.39,22.07,25.41,E
2026-07-30,NORTH,chat,85.61,13.75,15.83,E
2026-07-30,NORTH,email,31.43,5.05,5.81,E
2026-07-30,NORTH,voice,173.26,27.83,32.04,E
2026-07-30,SOUTH,chat,87.74,14.09,16.22,E
2026-07-30,SOUTH,email,33.47,5.38,6.19,E
2026-07-30,SOUTH,voice,130.42,20.95,24.12,E
2026-07-31,NORTH,chat,83.36,13.39,15.41,E
2026-07-31,NORTH,email,32.08,5.15,5.93,E
2026-07-31,NORTH,voice,166.53,26.75,30.79,E
2026-07-31,SOUTH,chat,83.48,13.41,15.44,E
2026-07-31,SOUTH,email,32.73,5.26,6.06,E
2026-07-31,SOUTH,voice,122.43,19.67,22.64,E
2026-08-01,NORTH,chat,50.03,8.04,9.26,E
2026-08-01,NORTH,email,13.22,2.12,2.44,E
2026-08-01,NORTH,voice,96.25,15.46,17.8,E
2026-08-01,SOUTH,chat,53.27,8.56,9.85,E
2026-08-01,SOUTH,email,13.78,2.21,2.54,E
2026-08-01,SOUTH,voice,73.04,11.73,13.5,E
2026-08-02,NORTH,chat,37.84,6.08,7.0,E
2026-08-02,NORTH,email,7.86,1.26,1.45,E
2026-08-02,NORTH,voice,64.67,10.39,11.96,E
2026-08-02,SOUTH,chat,34.55,5.55,6.39,E
2026-08-02,SOUTH,email,7.49,1.2,1.38,E
2026-08-02,SOUTH,voice,43.54,6.99,8.05,E
2026-08-03,NORTH,chat,106.44,17.1,19.68,E
2026-08-03,NORTH,email,32.91,5.29,6.09,E
2026-08-03,NORTH,voice,214.0,34.38,39.58,E
2026-08-03,SOUTH,chat,102.32,16.44,18.93,E
2026-08-03,SOUTH,email,32.36,5.2,5.99,E
2026-08-03,SOUTH,voice,153.44,24.65,28.38,E
2026-08-04,NORTH,chat,94.01,15.1,17.38,E
2026-08-04,NORTH,email,33.84,5.44,6.26,E
2026-08-04,NORTH,voice,192.68,30.95,35.63,E
2026-08-04,SOUTH,chat,90.46,14.53,16.73,E
2026-08-04,SOUTH,email,31.43,5.05,5.81,E
2026-08-04,SOUTH,voice,128.76,20.68,23.81,E
2026-08-05,NORTH,chat,91.88,14.76,16.99,E
2026-08-05,NORTH,email,33.65,5.41,6.23,E
2026-08-05,NORTH,voice,186.57,29.97,34.5,E
2026-08-05,SOUTH,chat,85.08,13.67,15.74,E
2026-08-05,SOUTH,email,32.08,5.15,5.93,E
2026-08-05,SOUTH,voice,123.44,19.83,22.83,E
2026-08-06,NORTH,chat,90.25,14.5,16.69,E
2026-08-06,NORTH,email,34.02,5.47,6.3,E
2026-08-06,NORTH,voice,187.15,30.06,34.6,E
2026-08-06,SOUTH,chat,87.08,13.99,16.1,E
2026-08-06,SOUTH,email,31.34,5.03,5.79,E
2026-08-06,SOUTH,voice,123.25,19.8,22.79,E
2026-08-07,NORTH,chat,85.61,13.75,15.83,E
2026-08-07,NORTH,email,32.63,5.24,6.03,E
2026-08-07,NORTH,voice,178.5,28.67,33.0,E
2026-08-07,SOUTH,chat,85.37,13.71,15.78,E
2026-08-07,SOUTH,email,32.36,5.2,5.99,E
2026-08-07,SOUTH,voice,121.36,19.5,22.45,E
2026-08-08,NORTH,chat,51.69,8.3,9.55,E
2026-08-08,NORTH,email,13.87,2.23,2.57,E
2026-08-08,NORTH,voice,100.77,16.19,18.64,E
2026-08-08,SOUTH,chat,49.05,7.88,9.07,E
2026-08-08,SOUTH,email,12.76,2.05,2.36,E
2026-08-08,SOUTH,voice,68.29,10.97,12.63,E
2026-08-09,NORTH,chat,38.71,6.22,7.16,E
2026-08-09,NORTH,email,8.14,1.31,1.51,E
2026-08-09,NORTH,voice,65.28,10.49,12.08,E
2026-08-09,SOUTH,chat,33.42,5.37,6.18,E
2026-08-09,SOUTH,email,7.21,1.16,1.34,E
2026-08-09,SOUTH,voice,43.74,7.03,8.09,E
2026-08-10,NORTH,chat,108.13,17.37,20.0,E
2026-08-10,NORTH,email,33.19,5.33,6.14,E
2026-08-10,NORTH,voice,221.87,35.64,41.03,E
2026-08-10,SOUTH,chat,103.79,16.67,19.19,E
2026-08-10,SOUTH,email,31.99,5.14,5.92,E
2026-08-10,SOUTH,voice,149.8,24.06,27.7,E
2026-08-11,NORTH,chat,100.4,16.13,18.57,E
2026-08-11,NORTH,email,34.11,5.48,6.31,E
2026-08-11,NORTH,voice,200.92,32.28,37.16,E
2026-08-11,SOUTH,chat,88.01,14.14,16.28,E
2026-08-11,SOUTH,email,31.06,4.99,5.74,E
2026-08-11,SOUTH,voice,134.41,21.59,24.85,E
2026-08-12,NORTH,chat,93.26,14.98,17.24,E
2026-08-12,NORTH,email,32.73,5.26,6.06,E
2026-08-12,NORTH,voice,187.61,30.14,34.7,E
2026-08-12,SOUTH,chat,90.47,14.53,16.73,E
2026-08-12,SOUTH,email,32.73,5.26,6.06,E
2026-08-12,SOUTH,voice,139.34,22.38,25.76,E
2026-08-13,NORTH,chat,96.73,15.54,17.89,E
2026-08-13,NORTH,email,33.1,5.32,6.12,E
2026-08-13,NORTH,voice,197.51,31.73,36.53,E
2026-08-13,SOUTH,chat,89.49,14.38,16.55,E
2026-08-13,SOUTH,email,30.51,4.9,5.64,E
2026-08-13,SOUTH,voice,130.78,21.01,24.19,E
2026-08-14,NORTH,chat,95.88,15.4,17.73,E
2026-08-14,NORTH,email,34.67,5.57,6.41,E
2026-08-14,NORTH,voice,189.08,30.37,34.96,E
2026-08-14,SOUTH,chat,79.31,12.74,14.67,E
2026-08-14,SOUTH,email,29.68,4.77,5.49,E
2026-08-14,SOUTH,voice,119.14,19.14,22.03,E
2026-08-15,NORTH,chat,52.26,8.4,9.67,E
2026-08-15,NORTH,email,13.31,2.14,2.46,E
2026-08-15,NORTH,voice,105.45,16.94,19.5,E
2026-08-15,SOUTH,chat,52.74,8.47,9.75,E
2026-08-15,SOUTH,email,13.22,2.12,2.44,E
2026-08-15,SOUTH,voice,71.21,11.44,13.17,E
2026-08-16,NORTH,chat,38.97,6.26,7.21,E
2026-08-16,NORTH,email,8.04,1.29,1.48,E
2026-08-16,NORTH,voice,69.7,11.2,12.89,E
2026-08-16,SOUTH,chat,36.03,5.79,6.67,E
2026-08-16,SOUTH,email,7.3,1.17,1.35,E
2026-08-16,SOUTH,voice,46.18,7.42,8.54,E
2026-08-17,NORTH,chat,105.96,17.02,19.59,E
2026-08-17,NORTH,email,32.63,5.24,6.03,E
2026-08-17,NORTH,voice,216.61,34.8,40.06,E
2026-08-17,SOUTH,chat,104.49,16.79,19.33,E
2026-08-17,SOUTH,email,32.54,5.23,6.02,E
2026-08-17,SOUTH,voice,147.74,23.73,27.32,E
2026-08-18,NORTH,chat,100.13,16.09,18.52,E
2026-08-18,NORTH,email,35.04,5.63,6.48,E
2026-08-18,NORTH,voice,209.68,33.68,38.77,E
2026-08-18,SOUTH,chat,86.51,13.9,16.0,E
2026-08-18,SOUTH,email,30.6,4.92,5.66,E
2026-08-18,SOUTH,voice,134.81,21.66,24.93,E
2026-08-19,NORTH,chat,97.83,15.72,18.1,E
2026-08-19,NORTH,email,33.0,5.3,6.1,E
2026-08-19,NORTH,voice,203.68,32.72,37.67,E
