date,site,cohort_id,heads_on_roll,heads_scheduled,scheduled_hours,productive_hours,shrink_planned_hours,shrink_unplanned_hours,weeks_since_graduation,separations,separations_voluntary
2026-06-25,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-06-26,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-06-27,HALCYON-OPS,tenured,76,31,232.5,192.98,27.9,11.625,,0,
2026-06-28,HALCYON-OPS,tenured,76,18,135,112.05,16.2,6.75,,0,
2026-06-29,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-06-30,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,1,
2026-07-01,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-07-02,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-07-03,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-07-04,HALCYON-OPS,tenured,76,31,232.5,192.98,27.9,11.625,,1,
2026-07-05,HALCYON-OPS,tenured,76,18,135,112.05,16.2,6.75,,0,
2026-07-06,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-07-07,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-07-08,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,1,
2026-07-09,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-07-10,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-07-11,HALCYON-OPS,tenured,76,31,232.5,192.98,27.9,11.625,,0,
2026-07-12,HALCYON-OPS,tenured,76,18,135,112.05,16.2,6.75,,0,
2026-07-13,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-07-14,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-07-15,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-07-16,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-07-17,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-07-18,HALCYON-OPS,tenured,76,31,232.5,192.98,27.9,11.625,,0,
2026-07-19,HALCYON-OPS,tenured,76,18,135,112.05,16.2,6.75,,0,
2026-07-20,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-07-21,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-07-22,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-07-23,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-07-24,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,1,
2026-07-25,HALCYON-OPS,tenured,76,31,232.5,192.98,27.9,11.625,,0,
2026-07-26,HALCYON-OPS,tenured,76,18,135,112.05,16.2,6.75,,0,
2026-07-27,HALCYON-OPS,tenured,76,76,570,319.2,68.4,182.4,,0,
2026-07-28,HALCYON-OPS,tenured,76,76,570,319.2,68.4,182.4,,0,
2026-07-29,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-07-30,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-07-31,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-08-01,HALCYON-OPS,tenured,76,31,232.5,192.98,27.9,11.625,,0,
2026-08-02,HALCYON-OPS,tenured,76,18,135,112.05,16.2,6.75,,0,
2026-08-03,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,1,
2026-08-04,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-08-05,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-08-06,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-08-07,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-08-08,HALCYON-OPS,tenured,76,31,232.5,192.98,27.9,11.625,,0,
2026-08-09,HALCYON-OPS,tenured,76,18,135,112.05,16.2,6.75,,0,
2026-08-10,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-08-11,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-08-12,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-08-13,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-08-14,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-08-15,HALCYON-OPS,tenured,76,31,232.5,192.98,27.9,11.625,,0,
2026-08-16,HALCYON-OPS,tenured,76,18,135,112.05,16.2,6.75,,0,
2026-08-17,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-08-18,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-08-19,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-08-20,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-08-21,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-08-22,HALCYON-OPS,tenured,76,31,232.5,192.98,27.9,11.625,,0,
2026-08-23,HALCYON-OPS,tenured,76,18,135,112.05,16.2,6.75,,0,
