date,segment,channel,transactions,transactions_forecast,contacts_offered,contacts_handled,aht_seconds,concurrency_effective,items_resolved,productive_hours,occupancy_achieved,service_level
2026-06-19,NORTH,chat,3125,3048,453,453,516,1.6,0,67.88,0.6,0.99
2026-06-19,NORTH,email,3125,3048,259,259,295.8,1,259,35.62,0.6,0.99
2026-06-19,SOUTH,voice,5232,4929,693,693,417,1,0,134.27,0.6,0.99
2026-06-19,SOUTH,chat,5232,4929,539,539,511.8,1.6,0,80.14,0.6,0.99
2026-06-19,SOUTH,email,5232,4929,308,308,297,1,308,42.5,0.6,0.99
2026-06-20,NORTH,voice,1525,1456,291,291,415.2,1,0,44.52,0.75,0.94
2026-06-20,NORTH,chat,1525,1456,227,227,535.2,1.6,0,27.98,0.75,0.94
2026-06-20,NORTH,email,1525,1456,130,130,304.8,1,130,14.62,0.75,0.94
2026-06-20,SOUTH,voice,2596,2441,353,353,424.2,1,0,55.17,0.75,0.94
2026-06-20,SOUTH,chat,2596,2441,275,275,526.8,1.6,0,33.39,0.75,0.94
2026-06-20,SOUTH,email,2596,2441,157,157,298.8,1,157,17.3,0.75,0.94
2026-06-21,NORTH,voice,963,926,185,185,418.2,1,0,26.66,0.81,0.81
2026-06-21,NORTH,chat,963,926,144,144,513,1.6,0,15.92,0.81,0.81
2026-06-21,NORTH,email,963,926,82,82,298.8,1,82,8.45,0.81,0.81
2026-06-21,SOUTH,voice,1610,1503,221,221,414,1,0,31.54,0.81,0.81
2026-06-21,SOUTH,chat,1610,1503,172,172,523.2,1.6,0,19.38,0.81,0.81
2026-06-21,SOUTH,email,1610,1503,98,98,298.8,1,98,10.1,0.81,0.81
2026-06-22,NORTH,voice,3883,3829,742,742,412.2,1,0,112.52,0.75,0.93
2026-06-22,NORTH,chat,3883,3829,577,577,526.8,1.6,0,69.95,0.75,0.93
2026-06-22,NORTH,email,3883,3829,330,330,292.2,1,330,35.47,0.75,0.93
2026-06-22,SOUTH,voice,6462,6372,859,859,417,1,0,131.84,0.75,0.93
2026-06-22,SOUTH,chat,6462,6372,668,668,529.2,1.6,0,81.29,0.75,0.93
2026-06-22,SOUTH,email,6462,6372,382,382,298.8,1,382,42.04,0.75,0.93
2026-06-23,NORTH,voice,3657,3625,678,678,409.8,1,0,110.28,0.7,0.99
2026-06-23,NORTH,chat,3657,3625,528,528,525,1.6,0,68.73,0.7,0.99
2026-06-23,NORTH,email,3657,3625,301,301,306,1,301,36.54,0.7,0.99
2026-06-23,SOUTH,voice,5971,5853,810,810,417,1,0,134.01,0.7,0.99
2026-06-23,SOUTH,chat,5971,5853,630,630,522,1.6,0,81.54,0.7,0.99
2026-06-23,SOUTH,email,5971,5853,360,360,294,1,360,41.99,0.7,0.99
2026-06-24,NORTH,voice,3641,3611,692,692,432,1,0,118.35,0.7,0.99
2026-06-24,NORTH,chat,3641,3611,538,538,534,1.6,0,71.08,0.7,0.99
2026-06-24,NORTH,email,3641,3611,308,308,295.8,1,308,36.09,0.7,0.99
2026-06-24,SOUTH,voice,5869,5532,777,777,421.8,1,0,129.81,0.7,0.99
2026-06-24,SOUTH,chat,5869,5532,604,604,511.8,1.6,0,76.52,0.7,0.99
2026-06-24,SOUTH,email,5869,5532,345,345,301.8,1,345,41.25,0.7,0.99
2026-06-25,NORTH,voice,3354,3151,646,646,426,1,0,115.19,0.66,0.99
2026-06-25,NORTH,chat,3354,3151,502,502,520.8,1.6,0,68.42,0.66,0.99
2026-06-25,NORTH,email,3354,3151,287,287,301.8,1,287,36.28,0.66,0.99
2026-06-25,SOUTH,voice,5499,5364,743,743,421.2,1,0,130.93,0.66,0.99
2026-06-25,SOUTH,chat,5499,5364,578,578,529.8,1.6,0,80.14,0.66,0.99
2026-06-25,SOUTH,email,5499,5364,330,330,304.8,1,330,42.13,0.66,0.99
2026-06-26,NORTH,voice,3267,3230,623,623,415.8,1,0,115.93,0.62,0.99
2026-06-26,NORTH,chat,3267,3230,485,485,508.2,1.6,0,68.88,0.62,0.99
2026-06-26,NORTH,email,3267,3230,277,277,301.2,1,277,37.3,0.62,0.99
2026-06-26,SOUTH,voice,5149,4831,696,696,426,1,0,132.63,0.62,0.99
2026-06-26,SOUTH,chat,5149,4831,541,541,511.8,1.6,0,77.44,0.62,0.99
2026-06-26,SOUTH,email,5149,4831,309,309,295.8,1,309,40.91,0.62,0.99
2026-06-27,NORTH,voice,1703,1623,322,322,424.8,1,0,48.19,0.79,0.86
2026-06-27,NORTH,chat,1703,1623,250,250,511.8,1.6,0,28.17,0.79,0.86
2026-06-27,NORTH,email,1703,1623,143,143,295.8,1,143,14.91,0.79,0.86
2026-06-27,SOUTH,voice,2612,2559,355,355,429,1,0,53.63,0.79,0.86
2026-06-27,SOUTH,chat,2612,2559,276,276,520.8,1.6,0,31.65,0.79,0.86
2026-06-27,SOUTH,email,2612,2559,158,158,295.2,1,158,16.41,0.79,0.86
2026-06-28,NORTH,voice,954,930,179,179,423,1,0,26.01,0.81,0.8
2026-06-28,NORTH,chat,954,930,139,139,514.2,1.6,0,15.34,0.81,0.8
2026-06-28,NORTH,email,954,930,80,80,307.2,1,80,8.44,0.81,0.8
2026-06-28,SOUTH,voice,1628,1577,221,221,427.8,1,0,32.49,0.81,0.8
2026-06-28,SOUTH,chat,1628,1577,172,172,526.2,1.6,0,19.42,0.81,0.8
2026-06-28,SOUTH,email,1628,1577,98,98,307.8,1,98,10.37,0.81,0.8
2026-06-29,NORTH,voice,4171,4162,783,783,427.2,1,0,114.34,0.81,0.79
2026-06-29,NORTH,chat,4171,4162,609,609,526.8,1.6,0,68.6,0.81,0.79
2026-06-29,NORTH,email,4171,4162,348,348,292.8,1,348,34.87,0.81,0.79
2026-06-29,SOUTH,voice,6896,6905,914,914,427.2,1,0,133.47,0.81,0.79
2026-06-29,SOUTH,chat,6896,6905,711,711,532.8,1.6,0,81,0.81,0.79
2026-06-29,SOUTH,email,6896,6905,406,406,294,1,406,40.82,0.81,0.79
2026-06-30,NORTH,voice,3820,3825,726,726,430.8,1,0,118.99,0.73,0.97
2026-06-30,NORTH,chat,3820,3825,565,565,520.8,1.6,0,69.96,0.73,0.97
2026-06-30,NORTH,email,3820,3825,323,323,309,1,323,37.95,0.73,0.97
2026-06-30,SOUTH,voice,6053,5654,810,810,414,1,0,127.52,0.73,0.97
2026-06-30,SOUTH,chat,6053,5654,630,630,522,1.6,0,78.16,0.73,0.97
2026-06-30,SOUTH,email,6053,5654,360,360,295.8,1,360,40.52,0.73,0.97
2026-07-01,NORTH,voice,3557,3322,689,689,414,1,0,116.33,0.68,0.99
2026-07-01,NORTH,chat,3557,3322,536,536,514.2,1.6,0,70.23,0.68,0.99
2026-07-01,NORTH,email,3557,3322,306,306,295.2,1,306,36.82,0.68,0.99
2026-07-01,SOUTH,voice,5762,5713,770,770,414,1,0,130.01,0.68,0.99
2026-07-01,SOUTH,chat,5762,5713,599,599,510,1.6,0,77.87,0.68,0.99
2026-07-01,SOUTH,email,5762,5713,342,342,300,1,342,41.84,0.68,0.99
2026-07-02,NORTH,voice,3237,3253,627,627,430.2,1,0,112.35,0.67,0.99
2026-07-02,NORTH,chat,3237,3253,488,488,520.2,1.6,0,66.09,0.67,0.99
2026-07-02,NORTH,email,3237,3253,279,279,295.2,1,279,34.3,0.67,0.99
2026-07-02,SOUTH,voice,5788,5438,779,779,409.2,1,0,132.77,0.67,0.99
2026-07-02,SOUTH,chat,5788,5438,606,606,526.8,1.6,0,83.18,0.67,0.99
2026-07-02,SOUTH,email,5788,5438,346,346,307.8,1,346,44.41,0.67,0.99
2026-07-03,NORTH,voice,3165,3103,607,607,411,1,0,110.8,0.63,0.99
2026-07-03,NORTH,chat,3165,3103,472,472,511.8,1.6,0,67.08,0.63,0.99
2026-07-03,NORTH,email,3165,3103,270,270,298.2,1,270,35.74,0.63,0.99
2026-07-03,SOUTH,voice,5339,5090,713,713,424.2,1,0,134.27,0.63,0.99
2026-07-03,SOUTH,chat,5339,5090,554,554,535.2,1.6,0,82.27,0.63,0.99
2026-07-03,SOUTH,email,5339,5090,317,317,304.8,1,317,42.94,0.63,0.99
2026-07-04,NORTH,voice,1607,1589,315,315,417,1,0,45.85,0.8,0.84
2026-07-04,NORTH,chat,1607,1589,245,245,520.2,1.6,0,27.79,0.8,0.84
2026-07-04,NORTH,email,1607,1589,140,140,304.2,1,140,14.86,0.8,0.84
2026-07-04,SOUTH,voice,2793,2657,374,374,414,1,0,54.05,0.8,0.84
2026-07-04,SOUTH,chat,2793,2657,291,291,514.2,1.6,0,32.63,0.8,0.84
2026-07-04,SOUTH,email,2793,2657,166,166,307.2,1,166,17.79,0.8,0.84
2026-07-05,NORTH,voice,982,966,194,194,423,1,0,27.55,0.83,0.75
2026-07-05,NORTH,chat,982,966,151,151,511.2,1.6,0,16.19,0.83,0.75
2026-07-05,NORTH,email,982,966,86,86,300,1,86,8.66,0.83,0.75
2026-07-05,SOUTH,voice,1671,1653,221,221,415.2,1,0,30.79,0.83,0.75
2026-07-05,SOUTH,chat,1671,1653,172,172,529.8,1.6,0,19.13,0.83,0.75
2026-07-05,SOUTH,email,1671,1653,98,98,295.8,1,98,9.74,0.83,0.75
2026-07-06,NORTH,voice,4173,3936,822,821,427.8,1,0,117.57,0.83,0.74
2026-07-06,NORTH,chat,4173,3936,640,639,505.2,1.6,0,67.5,0.83,0.74
2026-07-06,NORTH,email,4173,3936,365,364,295.8,1,364,36.1,0.83,0.74
2026-07-06,SOUTH,voice,6883,6422,923,922,423,1,0,130.47,0.83,0.74
2026-07-06,SOUTH,chat,6883,6422,718,717,534,1.6,0,80.08,0.83,0.74
2026-07-06,SOUTH,email,6883,6422,410,409,301.8,1,409,41.38,0.83,0.74
2026-07-07,NORTH,voice,3674,3694,743,743,429,1,0,114.69,0.77,0.9
2026-07-07,NORTH,chat,3674,3694,578,578,529.2,1.6,0,68.76,0.77,0.9
2026-07-07,NORTH,email,3674,3694,330,330,295.2,1,330,35.03,0.77,0.9
2026-07-07,SOUTH,voice,6499,6319,881,881,421.2,1,0,133.46,0.77,0.9
2026-07-07,SOUTH,chat,6499,6319,685,685,507,1.6,0,78.1,0.77,0.9
2026-07-07,SOUTH,email,6499,6319,391,391,306,1,391,43.05,0.77,0.9
2026-07-08,NORTH,voice,3591,3619,724,724,421.2,1,0,116.94,0.72,0.98
2026-07-08,NORTH,chat,3591,3619,563,563,517.2,1.6,0,69.8,0.72,0.98
2026-07-08,NORTH,email,3591,3619,322,322,306,1,322,37.8,0.72,0.98
2026-07-08,SOUTH,voice,5917,5965,801,801,426,1,0,130.92,0.72,0.98
2026-07-08,SOUTH,chat,5917,5965,623,623,514.8,1.6,0,76.94,0.72,0.98
2026-07-08,SOUTH,email,5917,5965,356,356,298.2,1,356,40.7,0.72,0.98
2026-07-09,NORTH,voice,3339,3308,681,681,426,1,0,115.7,0.7,0.99
2026-07-09,NORTH,chat,3339,3308,530,530,531,1.6,0,70.15,0.7,0.99
2026-07-09,NORTH,email,3339,3308,303,303,295.2,1,303,35.65,0.7,0.99
2026-07-09,SOUTH,voice,5773,5393,769,769,429,1,0,131.57,0.7,0.99
2026-07-09,SOUTH,chat,5773,5393,598,598,526.8,1.6,0,78.56,0.7,0.99
2026-07-09,SOUTH,email,5773,5393,342,342,304.2,1,342,41.47,0.7,0.99
2026-07-10,NORTH,voice,3372,3334,698,698,418.2,1,0,122.41,0.66,0.99
2026-07-10,NORTH,chat,3372,3334,543,543,525,1.6,0,74.75,0.66,0.99
2026-07-10,NORTH,email,3372,3334,310,310,298.2,1,310,38.76,0.66,0.99
2026-07-10,SOUTH,voice,5324,4965,706,706,420,1,0,124.41,0.66,0.99
2026-07-10,SOUTH,chat,5324,4965,549,549,517.2,1.6,0,74.43,0.66,0.99
2026-07-10,SOUTH,email,5324,4965,314,314,291,1,314,38.34,0.66,0.99
2026-07-11,NORTH,voice,1603,1608,324,324,415.8,1,0,47.02,0.8,0.84
2026-07-11,NORTH,chat,1603,1608,252,252,516,1.6,0,28.35,0.8,0.84
2026-07-11,NORTH,email,1603,1608,144,144,292.8,1,144,14.72,0.8,0.84
2026-07-11,SOUTH,voice,2726,2614,365,365,424.2,1,0,53.99,0.8,0.84
2026-07-11,SOUTH,chat,2726,2614,284,284,516,1.6,0,31.95,0.8,0.84
2026-07-11,SOUTH,email,2726,2614,162,162,300,1,162,16.95,0.8,0.84
2026-07-12,NORTH,voice,994,936,202,199,430.8,1,0,28.77,0.83,0.74
2026-07-12,NORTH,chat,994,936,157,155,508.2,1.6,0,16.47,0.83,0.74
2026-07-12,NORTH,email,994,936,90,89,307.2,1,89,9.13,0.83,0.73
2026-07-12,SOUTH,voice,1605,1556,216,213,424.8,1,0,30.33,0.83,0.74
2026-07-12,SOUTH,chat,1605,1556,168,166,513,1.6,0,17.8,0.83,0.74
2026-07-12,SOUTH,email,1605,1556,96,95,301.2,1,95,9.55,0.83,0.73
2026-07-13,NORTH,voice,4033,3803,846,757,589.8,1,0,149.51,0.83,0.74
2026-07-13,NORTH,chat,4033,3803,658,589,514.2,1.6,0,63.32,0.83,0.74
2026-07-13,NORTH,email,4033,3803,376,337,292.2,1,337,32.89,0.83,0.73
2026-07-13,SOUTH,voice,6763,6353,923,826,429,1,0,118.6,0.83,0.74
2026-07-13,SOUTH,chat,6763,6353,718,643,526.8,1.6,0,70.84,0.83,0.74
2026-07-13,SOUTH,email,6763,6353,410,367,309,1,367,37.95,0.83,0.74
2026-07-14,NORTH,voice,3933,3760,815,753,595.2,1,0,149.95,0.83,0.74
2026-07-14,NORTH,chat,3933,3760,634,586,519,1.6,0,63.59,0.83,0.74
2026-07-14,NORTH,email,3933,3760,362,334,301.8,1,334,33.81,0.83,0.74
2026-07-14,SOUTH,voice,6666,6639,907,838,418.8,1,0,117.52,0.83,0.74
2026-07-14,SOUTH,chat,6666,6639,705,651,520.2,1.6,0,70.85,0.83,0.74
2026-07-14,SOUTH,email,6666,6639,403,372,300,1,372,37.39,0.83,0.74
2026-07-15,NORTH,voice,3528,3320,755,755,571.8,1,0,144.84,0.83,0.74
2026-07-15,NORTH,chat,3528,3320,587,587,514.8,1.6,0,63.37,0.83,0.74
2026-07-15,NORTH,email,3528,3320,336,336,298.2,1,336,33.58,0.83,0.74
2026-07-15,SOUTH,voice,6428,6058,852,852,418.8,1,0,119.73,0.83,0.74
2026-07-15,SOUTH,chat,6428,6058,663,663,523.8,1.6,0,72.82,0.83,0.74
2026-07-15,SOUTH,email,6428,6058,379,379,304.8,1,379,38.77,0.83,0.74
2026-07-16,NORTH,voice,3440,3263,728,728,574.8,1,0,150.5,0.77,0.9
2026-07-16,NORTH,chat,3440,3263,566,566,525,1.6,0,66.77,0.77,0.9
2026-07-16,NORTH,email,3440,3263,323,323,300,1,323,34.84,0.77,0.9
2026-07-16,SOUTH,voice,5750,5703,763,763,424.2,1,0,116.31,0.77,0.9
2026-07-16,SOUTH,chat,5750,5703,593,593,514.2,1.6,0,68.49,0.77,0.9
2026-07-16,SOUTH,email,5750,5703,339,339,297,1,339,36.2,0.77,0.9
2026-07-17,NORTH,voice,3257,3080,710,710,580.8,1,0,148.46,0.77,0.9
2026-07-17,NORTH,chat,3257,3080,552,552,532.2,1.6,0,66.05,0.77,0.9
2026-07-17,NORTH,email,3257,3080,316,316,304.2,1,316,34.57,0.77,0.9
2026-07-17,SOUTH,voice,5539,5354,757,757,430.8,1,0,117.42,0.77,0.9
2026-07-17,SOUTH,chat,5539,5354,589,589,528,1.6,0,69.95,0.77,0.9
2026-07-17,SOUTH,email,5539,5354,336,336,303,1,336,36.64,0.77,0.9
2026-07-18,NORTH,voice,1764,1668,376,319,598.8,1,0,64.03,0.83,0.74
2026-07-18,NORTH,chat,1764,1668,293,249,519,1.6,0,27.02,0.83,0.74
2026-07-18,NORTH,email,1764,1668,167,142,292.8,1,142,13.91,0.83,0.74
2026-07-18,SOUTH,voice,2855,2682,385,327,424.2,1,0,46.41,0.83,0.74
2026-07-18,SOUTH,chat,2855,2682,299,254,514.2,1.6,0,27.31,0.83,0.74
2026-07-18,SOUTH,email,2855,2682,171,145,294,1,145,14.29,0.83,0.74
2026-07-19,NORTH,voice,987,985,214,181,580.8,1,0,35.19,0.83,0.74
2026-07-19,NORTH,chat,987,985,166,140,507,1.6,0,14.89,0.83,0.75
2026-07-19,NORTH,email,987,985,95,80,303,1,80,8.15,0.83,0.75
2026-07-19,SOUTH,voice,1752,1758,233,197,430.8,1,0,28.42,0.83,0.74
2026-07-19,SOUTH,chat,1752,1758,181,153,520.8,1.6,0,16.68,0.83,0.74
2026-07-19,SOUTH,email,1752,1758,104,88,295.8,1,88,8.71,0.83,0.74
2026-07-20,NORTH,voice,4260,4223,917,769,579,1,0,149.06,0.83,0.74
2026-07-20,NORTH,chat,4260,4223,713,598,525,1.6,0,65.68,0.83,0.74
2026-07-20,NORTH,email,4260,4223,407,341,292.8,1,341,33.48,0.83,0.74
2026-07-20,SOUTH,voice,7253,6962,979,821,427.2,1,0,117.36,0.83,0.74
2026-07-20,SOUTH,chat,7253,6962,761,638,528,1.6,0,70.51,0.83,0.74
2026-07-20,SOUTH,email,7253,6962,435,365,303,1,365,37,0.83,0.74
2026-07-21,NORTH,voice,3859,3596,835,747,604.8,1,0,151.2,0.83,0.74
2026-07-21,NORTH,chat,3859,3596,649,580,526.2,1.6,0,63.86,0.83,0.74
2026-07-21,NORTH,email,3859,3596,371,332,301.8,1,332,33.54,0.83,0.74
2026-07-21,SOUTH,voice,6884,6454,936,837,415.8,1,0,116.54,0.83,0.74
2026-07-21,SOUTH,chat,6884,6454,728,651,523.2,1.6,0,71.23,0.83,0.74
2026-07-21,SOUTH,email,6884,6454,416,372,295.2,1,372,36.73,0.83,0.74
2026-07-22,NORTH,voice,3701,3671,814,772,574.2,1,0,148.26,0.83,0.74
